t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.052000,0.00000000,0.08726748,0.17206152,0.25204007,0.32510544,0.38948403,0.44376471,0.48689590,0.51814947,0.53706574,0.54339699,0.53706574,0.51814947,0.48689590,0.44376471,0.38948403,0.32510544,0.25204007,0.17206152,0.08726748,0.00000000
0.053000,0.00000000,0.08629803,0.17017245,0.24932420,0.32168627,0.38550042,0.43935553,0.48218768,0.51324930,0.53206049,0.53835855,0.53206049,0.51324930,0.48218768,0.43935553,0.38550042,0.32168627,0.24932420,0.17017245,0.08629803,0.00000000
0.054000,0.00000000,0.08534750,0.16831869,0.24665546,0.31832037,0.38157051,0.43499588,0.47752216,0.50838461,0.52708535,0.53334824,0.52708535,0.50838461,0.47752216,0.43499588,0.38157051,0.31832037,0.24665546,0.16831869,0.08534750,0.00000000
0.055000,0.00000000,0.08441495,0.16649853,0.24403173,0.31500561,0.37769259,0.43068477,0.47289916,0.50355605,0.52214154,0.52836748,0.52214154,0.50355605,0.47289916,0.43068477,0.37769259,0.31500561,0.24403173,0.16649853,0.08441495,0.00000000
0.056000,0.00000000,0.08349951,0.16471042,0.24145106,0.31174003,0.37386505,0.42642122,0.46831851,0.49876417,0.51723012,0.52341754,0.51723012,0.49876417,0.46831851,0.42642122,0.37386505,0.31174003,0.24145106,0.16471042,0.08349951,0.00000000
0.057000,0.00000000,0.08260037,0.16295290,0.23891163,0.30852180,0.37008639,0.42220432,0.46378001,0.49400944,0.51235207,0.51849955,0.51235207,0.49400944,0.46378001,0.42220432,0.37008639,0.30852180,0.23891163,0.16295290,0.08260037,0.00000000
0.058000,0.00000000,0.08171679,0.16122462,0.23641176,0.30534921,0.36635520,0.41803321,0.45928345,0.48929228,0.50750821,0.51361451,0.50750821,0.48929228,0.45928345,0.41803321,0.36635520,0.30534921,0.23641176,0.16122462,0.08171679,0.00000000
0.059000,0.00000000,0.08084807,0.15952433,0.23394987,0.30222068,0.36267016,0.41390706,0.45482860,0.48461302,0.50269930,0.50876331,0.50269930,0.48461302,0.45482860,0.41390706,0.36267016,0.30222068,0.23394987,0.15952433,0.08084807,0.00000000
0.060000,0.00000000,0.07999356,0.15785087,0.23152450,0.29913472,0.35903005,0.40982510,0.45041523,0.47997195,0.49792599,0.50394672,0.49792599,0.47997195,0.45041523,0.40982510,0.35903005,0.29913472,0.23152450,0.15785087,0.07999356,0.00000000
0.061000,0.00000000,0.07915268,0.15620314,0.22913430,0.29608996,0.35543370,0.40578657,0.44604310,0.47536929,0.49318882,0.49916543,0.49318882,0.47536929,0.44604310,0.40578657,0.35543370,0.29608996,0.22913430,0.15620314,0.07915268,0.00000000
0.062000,0.00000000,0.07832486,0.15458016,0.22677800,0.29308509,0.35188002,0.40179075,0.44171193,0.47080521,0.48848829,0.49442003,0.48848829,0.47080521,0.44171193,0.40179075,0.35188002,0.29308509,0.22677800,0.15458016,0.07832486,0.00000000
0.063000,0.00000000,0.07750958,0.15298098,0.22445442,0.29011892,0.34836799,0.39783696,0.43742148,0.46627984,0.48382480,0.48971104,0.48382480,0.46627984,0.43742148,0.39783696,0.34836799,0.29011892,0.22445442,0.15298098,0.07750958,0.00000000
0.064000,0.00000000,0.07670637,0.15140473,0.22216247,0.28719031,0.34489663,0.39392455,0.43317145,0.46179328,0.47919870,0.48503889,0.47919870,0.46179328,0.43317145,0.39392455,0.34489663,0.28719031,0.22216247,0.15140473,0.07670637,0.00000000
0.065000,0.00000000,0.07591479,0.14985060,0.21990111,0.28429820,0.34146504,0.39005289,0.42896157,0.45734557,0.47461029,0.48040396,0.47461029,0.45734557,0.42896157,0.39005289,0.34146504,0.28429820,0.21990111,0.14985060,0.07591479,0.00000000
0.066000,0.00000000,0.07513440,0.14831784,0.21766938,0.28144161,0.33807235,0.38622136,0.42479156,0.45293672,0.47005977,0.47580654,0.47005977,0.45293672,0.42479156,0.38622136,0.33807235,0.28144161,0.21766938,0.14831784,0.07513440,0.00000000
0.067000,0.00000000,0.07436483,0.14680574,0.21546640,0.27861959,0.33471774,0.38242939,0.42066111,0.44856673,0.46554735,0.47124690,0.46554735,0.44856673,0.42066111,0.38242939,0.33471774,0.27861959,0.21546640,0.14680574,0.07436483,0.00000000
0.068000,0.00000000,0.07360572,0.14531364,0.21329131,0.27583128,0.33140046,0.37867642,0.41656994,0.44423553,0.46107314,0.46672523,0.46107314,0.44423553,0.41656994,0.37867642,0.33140046,0.27583128,0.21329131,0.14531364,0.07360572,0.00000000
0.069000,0.00000000,0.07285671,0.14384092,0.21114334,0.27307584,0.32811975,0.37496190,0.41251774,0.43994307,0.45663724,0.46224168,0.45663724,0.43994307,0.41251774,0.37496190,0.32811975,0.27307584,0.21114334,0.14384092,0.07285671,0.00000000
